,y,y.donor.oriented,i_ID,j_ID,ij_dyad_ID,k_ID,l_ID,kl_dyad_ID,il_ID,jk_ID,i_age,j_age,i_sex,j_sex,i_bmi,j_bmi,i_skin,j_skin,k_wealth,l_wealth,ij_god_relation,ij_deg_r,ij_affinal_r,kl_avg_interhouse_R,kl_sd_interhouse_R,kl_distance,kl_affair,i_avg_community_r,j_avg_community_r
184,0,0,2,80,185,2,18,49,50,2530,26,36,M,M,24.05924093,23.85951517,45.6,49.2,0.17122,0.402529998,0,0,0.0078125,0.015345982,0.014243647,3739.356629,ref,0.020115025,0.014760148
8241,0,0,80,2,185,18,2,49,2530,50,36,26,M,M,23.85951517,24.05924093,49.2,45.6,0.402529998,0.17122,0,0,0.0078125,0.015345982,0.014243647,3739.356629,ref,0.014760148,0.020115025
185,0,0,2,81,186,2,7,38,39,2562,26,36,M,F,24.05924093,22.2368401,45.6,49.1,0.17122,0.049,0,0.0078125,0.0390625,0.009765625,0.009975662,3406.121695,ref,0.020115025,0.064287362
8348,0,0,81,2,186,7,2,38,2562,39,36,26,F,M,22.2368401,24.05924093,49.1,45.6,0.049,0.17122,0,0.0078125,0.0390625,0.009765625,0.009975662,3406.121695,ref,0.064287362,0.020115025
186,0,0,2,82,187,2,25,56,57,2594,26,36,M,M,24.05924093,25.68211703,45.6,48.4,0.17122,0.608060002,0,0,0.0078125,0.009765625,0.008353505,3854.580262,ref,0.020115025,0.009225092
8455,0,0,82,2,187,25,2,56,2594,57,36,26,M,M,25.68211703,24.05924093,48.4,45.6,0.608060002,0.17122,0,0,0.0078125,0.009765625,0.008353505,3854.580262,ref,0.009225092,0.020115025
187,1,1,2,83,188,2,10,41,42,2626,26,31,M,F,24.05924093,25.69504876,45.6,53.8,0.17122,0.65041,1,0.03125,0.5,0.104166667,0.117640494,356.5908019,ref,0.020115025,0.081692516
8562,1,1,83,2,188,10,2,41,2626,42,31,26,F,M,25.69504876,24.05924093,53.8,45.6,0.65041,0.17122,1,0.03125,0.5,0.104166667,0.117640494,356.5908019,ref,0.081692516,0.020115025
188,1,1,2,84,189,2,26,57,58,2658,26,54,M,F,24.05924093,25.2999164,45.6,59.7,0.17122,0.31169,0,0.0625,0.5,0.225,0.144586211,3743.680809,ref,0.020115025,0.122794626
8669,1,1,84,2,189,26,2,57,2658,58,54,26,F,M,25.2999164,24.05924093,59.7,45.6,0.31169,0.17122,0,0.0625,0.5,0.225,0.144586211,3743.680809,ref,0.122794626,0.020115025
111,NA,0,2,85,190,2,27,58,59,2690,26,28,M,M,24.05924093,24.40647114,45.6,43.4,0.17122,0.372609999,0,0.00390625,0,0.010546875,0.009010398,3922.423868,ref,0.020115025,0.014817804
430,0,NA,85,2,190,27,2,58,2690,59,28,26,M,M,24.40647114,24.05924093,43.4,45.6,0.372609999,0.17122,0,0.00390625,0,0.010546875,0.009010398,3922.423868,ref,0.014817804,0.020115025
189,0,0,2,86,191,2,28,59,60,2722,26,65,M,M,24.05924093,21.36859137,45.6,54.4,0.17122,0.739500001,0,0,0,0.0078125,0.01392395,3842.190261,ref,0.020115025,0.010493542
8776,0,0,86,2,191,28,2,59,2722,60,65,26,M,M,21.36859137,24.05924093,54.4,45.6,0.739500001,0.17122,0,0,0,0.0078125,0.01392395,3842.190261,ref,0.010493542,0.020115025
190,0,0,2,87,192,2,15,46,47,2754,26,48,M,F,24.05924093,32.20024674,45.6,60.9,0.17122,0.323029999,0,0,0,0.004166667,0.018263828,3809.114595,ref,0.020115025,0.021996079
8883,0,0,87,2,192,15,2,46,2754,47,48,26,F,M,32.20024674,24.05924093,60.9,45.6,0.323029999,0.17122,0,0,0,0.004166667,0.018263828,3809.114595,ref,0.021996079,0.020115025
191,1,1,2,88,193,2,18,49,50,2786,26,52,M,F,24.05924093,22.57777778,45.6,45.3,0.17122,0.402529998,1,0,0.015625,0.015345982,0.014243647,3739.356629,ref,0.020115025,0.034132841
8990,1,1,88,2,193,18,2,49,2786,50,52,26,F,M,22.57777778,24.05924093,45.3,45.6,0.402529998,0.17122,1,0,0.015625,0.015345982,0.014243647,3739.356629,ref,0.034132841,0.020115025
192,0,0,2,89,194,2,13,44,45,2818,26,20,M,M,24.05924093,22.16573193,45.6,44.3,0.17122,0.18418,0,0,0,0.0125,0.030007061,3920.458392,ref,0.020115025,0.018334871
9097,0,0,89,2,194,13,2,44,2818,45,20,26,M,M,22.16573193,24.05924093,44.3,45.6,0.18418,0.17122,0,0,0,0.0125,0.030007061,3920.458392,ref,0.018334871,0.020115025
193,0,0,2,90,195,2,12,43,44,2850,26,29,M,F,24.05924093,25.5426795,45.6,48.3,0.17122,0.566839998,0,0,0.015625,0.01953125,0.015643415,3180.875666,ref,0.020115025,0.020698801
9204,0,0,90,2,195,12,2,43,2850,44,29,26,F,M,25.5426795,24.05924093,48.3,45.6,0.566839998,0.17122,0,0,0.015625,0.01953125,0.015643415,3180.875666,ref,0.020698801,0.020115025
194,0,0,2,91,196,2,6,37,38,2882,26,40,M,M,24.05924093,23.44558645,45.6,47.7,0.17122,0.24648,0,0,0,0.005580357,0.006289347,3780.928193,ref,0.020115025,0.001845018
9311,0,0,91,2,196,6,2,37,2882,38,40,26,M,M,23.44558645,24.05924093,47.7,45.6,0.24648,0.17122,0,0,0,0.005580357,0.006289347,3780.928193,ref,0.001845018,0.020115025
195,0,0,2,92,197,2,29,60,61,2914,26,26,M,M,24.05924093,22.0585864,45.6,50.9,0.17122,0.1442,0,0.03125,0.125,0.033203125,0.027755195,3787.77362,ref,0.020115025,0.070968346
9418,0,0,92,2,197,29,2,60,2914,61,26,26,M,M,22.0585864,24.05924093,50.9,45.6,0.1442,0.17122,0,0.03125,0.125,0.033203125,0.027755195,3787.77362,ref,0.070968346,0.020115025
196,0,0,2,93,198,2,30,61,62,2946,26,31,M,M,24.05924093,22.61451166,45.6,47.3,0.17122,0.566279999,0,0.03125,0.125,0.042279412,0.042781686,3719.638961,ref,0.020115025,0.07362056
9525,0,0,93,2,198,30,2,61,2946,62,31,26,M,M,22.61451166,24.05924093,47.3,45.6,0.566279999,0.17122,0,0.03125,0.125,0.042279412,0.042781686,3719.638961,ref,0.07362056,0.020115025
197,NA,0,2,94,199,2,9,40,41,2978,26,19,M,F,24.05924093,24.68153722,45.6,44.8,0.17122,1.118810005,0,0.03125,0.125,0.057692308,0.045904986,3760.082579,ref,0.020115025,0.075898005
9632,0,NA,94,2,199,9,2,40,2978,41,19,26,F,M,24.68153722,24.05924093,44.8,45.6,1.118810005,0.17122,0,0.03125,0.125,0.057692308,0.045904986,3760.082579,ref,0.075898005,0.020115025
212,1,0,2,95,200,2,22,53,54,3010,26,18,M,F,24.05924093,22.04278285,45.6,45.7,0.17122,0.17186,0,0,0.0078125,0.003487723,0.002940593,3710.570037,ref,0.020115025,0.040864276
11237,0,0,95,2,200,22,2,53,3010,54,18,26,F,M,22.04278285,24.05924093,45.7,45.6,0.17186,0.17122,0,0,0.0078125,0.003487723,0.002940593,3710.570037,ref,0.040864276,0.020115025
198,0,0,2,96,201,2,32,63,64,3042,26,33,M,F,24.05924093,22.6849514,45.6,50.5,0.17122,0.321590001,0,0,0.0625,0.0546875,0.048568301,3713.441127,ref,0.020115025,0.017758303
9739,0,1,96,2,201,32,2,63,3042,64,33,26,F,M,22.6849514,24.05924093,50.5,45.6,0.321590001,0.17122,0,0,0.0625,0.0546875,0.048568301,3713.441127,ref,0.017758303,0.020115025
199,0,0,2,97,202,2,29,60,61,3074,26,22,M,F,24.05924093,22.18072745,45.6,46.4,0.17122,0.1442,0,0,0.03125,0.033203125,0.027755195,3787.77362,ref,0.020115025,0.043631804
9846,0,0,97,2,202,29,2,60,3074,61,22,26,F,M,22.18072745,24.05924093,46.4,45.6,0.1442,0.17122,0,0,0.03125,0.033203125,0.027755195,3787.77362,ref,0.043631804,0.020115025
200,1,0,2,98,203,2,3,34,35,3106,26,45,M,F,24.05924093,26.75921734,45.6,54.9,0.17122,0.18203,0,0.0625,0.25,0.0625,0.05023981,3728.936175,ref,0.020115025,0.120488353
9953,0,1,98,2,203,3,2,34,3106,35,45,26,F,M,26.75921734,24.05924093,54.9,45.6,0.18203,0.17122,0,0.0625,0.25,0.0625,0.05023981,3728.936175,ref,0.120488353,0.020115025
201,0,0,2,99,204,2,30,61,62,3138,26,64,M,M,24.05924093,21.1079069,45.6,55.1,0.17122,0.566279999,0,0,0.0625,0.042279412,0.042781686,3719.638961,ref,0.020115025,0.018219557
10060,0,0,99,2,204,30,2,61,3138,62,64,26,M,M,21.1079069,24.05924093,55.1,45.6,0.566279999,0.17122,0,0,0.0625,0.042279412,0.042781686,3719.638961,ref,0.018219557,0.020115025
109,0,0,2,100,205,2,1,2,33,3170,26,24,M,M,24.05924093,26.92256151,45.6,52.1,0.17122,0.19701,0,0.03125,0.125,0.053977273,0.049500344,3756.402801,ref,0.020115025,0.059552295
216,0,0,100,2,205,1,2,2,3170,33,24,26,M,M,26.92256151,24.05924093,52.1,45.6,0.19701,0.17122,0,0.03125,0.125,0.053977273,0.049500344,3756.402801,ref,0.059552295,0.020115025
213,0,0,2,101,206,2,22,53,54,3202,26,25,M,M,24.05924093,19.82173467,45.6,52.1,0.17122,0.17186,0,0,0,0.003487723,0.002940593,3710.570037,ref,0.020115025,0.002998155
11344,0,0,101,2,206,22,2,53,3202,54,25,26,M,M,19.82173467,24.05924093,52.1,45.6,0.17186,0.17122,0,0,0,0.003487723,0.002940593,3710.570037,ref,0.002998155,0.020115025
203,1,0,2,102,207,2,18,49,50,3234,26,20,M,F,24.05924093,23.46388316,45.6,44.9,0.17122,0.402529998,0,0.0078125,0.0390625,0.015345982,0.014243647,3739.356629,ref,0.020115025,0.073454797
10274,0,1,102,2,207,18,2,49,3234,50,20,26,F,M,23.46388316,24.05924093,44.9,45.6,0.402529998,0.17122,0,0.0078125,0.0390625,0.015345982,0.014243647,3739.356629,ref,0.073454797,0.020115025
158,0,0,2,103,208,2,31,62,63,3266,26,33,M,M,24.05924093,23.48579692,45.6,45.6,0.17122,1.652060002,0,0.015625,0.078125,0.038574219,0.019062272,3782.808745,ref,0.020115025,0.100322878
5459,0,0,103,2,208,31,2,62,3266,63,33,26,M,M,23.48579692,24.05924093,45.6,45.6,1.652060002,0.17122,0,0.015625,0.078125,0.038574219,0.019062272,3782.808745,ref,0.100322878,0.020115025
204,1,0,2,104,209,2,18,49,50,3298,26,25,M,M,24.05924093,21.67940081,45.6,48.4,0.17122,0.402529998,0,0.0078125,0.0390625,0.015345982,0.014243647,3739.356629,ref,0.020115025,0.072532288
10381,0,1,104,2,209,18,2,49,3298,50,25,26,M,M,21.67940081,24.05924093,48.4,45.6,0.402529998,0.17122,0,0.0078125,0.0390625,0.015345982,0.014243647,3739.356629,ref,0.072532288,0.020115025
205,0,0,2,105,210,2,22,53,54,3330,26,24,M,M,24.05924093,24.60215404,45.6,49,0.17122,0.17186,0,0,0.0078125,0.003487723,0.002940593,3710.570037,ref,0.020115025,0.040864276
10488,0,0,105,2,210,22,2,53,3330,54,24,26,M,M,24.60215404,24.05924093,49,45.6,0.17186,0.17122,0,0,0.0078125,0.003487723,0.002940593,3710.570037,ref,0.040864276,0.020115025
206,0,0,2,106,211,2,32,63,64,3362,26,33,M,M,24.05924093,22.93333333,45.6,50.5,0.17122,0.321590001,0,0.0625,0.25,0.0546875,0.048568301,3713.441127,ref,0.020115025,0.117720826
10595,0,0,106,2,211,32,2,63,3362,64,33,26,M,M,22.93333333,24.05924093,50.5,45.6,0.321590001,0.17122,0,0.0625,0.25,0.0546875,0.048568301,3713.441127,ref,0.117720826,0.020115025
207,0,0,2,107,212,2,6,37,38,3394,26,20,M,M,24.05924093,22.15189873,45.6,54.5,0.17122,0.24648,0,0,0.0078125,0.005580357,0.006289347,3780.928193,ref,0.020115025,0.020107818
10702,0,0,107,2,212,6,2,37,3394,38,20,26,M,M,22.15189873,24.05924093,54.5,45.6,0.24648,0.17122,0,0,0.0078125,0.005580357,0.006289347,3780.928193,ref,0.020107818,0.020115025
208,1,1,2,108,213,2,2,33,34,3426,26,24,M,F,24.05924093,21.9478738,45.6,53.9,0.17122,0.17122,0,0.03125,1,NA,NA,0,ref,0.020115025,0.082615025
10809,1,1,108,2,213,2,2,33,3426,34,24,26,F,M,21.9478738,24.05924093,53.9,45.6,0.17122,0.17122,0,0.03125,1,NA,NA,0,ref,0.082615025,0.020115025
326,1,0,3,4,214,5,3,66,67,101,48,45,M,M,23.66780045,21.67505798,51.1,62.5,0.314460001,0.18203,0,0,0,0.028409091,0.029337069,100.1798383,ref,0.013837638,0.013376384
539,0,1,4,3,214,3,5,66,101,67,45,48,M,M,21.67505798,23.66780045,62.5,51.1,0.18203,0.314460001,0,0,0,0.028409091,0.029337069,100.1798383,ref,0.013376384,0.013837638
327,0,0,3,5,215,5,4,95,68,133,48,33,M,M,23.66780045,23.57000197,51.1,48.8,0.314460001,0.07379,0,0,0,0.015625,0.017842473,1477.308702,ref,0.013837638,0.005073801
646,1,0,5,3,215,4,5,95,133,68,33,48,M,M,23.57000197,23.66780045,48.8,51.1,0.07379,0.314460001,0,0,0,0.015625,0.017842473,1477.308702,ref,0.005073801,0.013837638
328,0,1,3,6,216,5,6,124,70,165,48,67,M,F,23.66780045,24.27041046,51.1,51.3,0.314460001,0.24648,0,0,0.0625,0.014880952,0.019730051,136.9269878,ref,0.013837638,0.041685886
753,1,1,6,3,216,6,5,124,165,70,67,48,F,M,24.27041046,23.66780045,51.3,51.1,0.24648,0.314460001,0,0,0.0625,0.014880952,0.019730051,136.9269878,ref,0.041685886,0.013837638
388,0,0,3,7,217,5,26,144,90,197,48,23,M,M,23.66780045,23.72099941,51.1,54,0.314460001,0.31169,0,0,0.046875,0.034375,0.033835268,81.39410298,ref,0.013837638,0.078924988
7173,0,0,7,3,217,26,5,144,197,90,23,48,M,M,23.72099941,23.66780045,54,51.1,0.31169,0.314460001,0,0,0.046875,0.034375,0.033835268,81.39410298,ref,0.078924988,0.013837638
329,0,1,3,8,218,5,13,131,77,229,48,43,M,F,23.66780045,18.24242151,51.1,45.9,0.314460001,0.18418,0,0,0,0.00625,0.016776397,221.1628359,ref,0.013837638,0.027444649
860,1,0,8,3,218,13,5,131,229,77,43,48,F,M,18.24242151,23.66780045,45.9,51.1,0.18418,0.314460001,0,0,0,0.00625,0.016776397,221.1628359,ref,0.027444649,0.013837638
330,0,0,3,9,219,5,22,140,86,261,48,20,M,M,23.66780045,22.33278955,51.1,47.8,0.314460001,0.17186,0,0,0.015625,0.009300595,0.009680657,226.7972663,ref,0.013837638,0.039941767
967,0,0,9,3,219,22,5,140,261,86,20,48,M,M,22.33278955,23.66780045,47.8,51.1,0.17186,0.314460001,0,0,0.015625,0.009300595,0.009680657,226.7972663,ref,0.039941767,0.013837638
331,1,1,3,10,220,5,32,150,96,293,48,31,M,M,23.66780045,22.83633299,51.1,46,0.314460001,0.321590001,0,0,0,0.02734375,0.029672317,102.3034701,ref,0.013837638,0.002133303
1074,0,1,10,3,220,32,5,150,293,96,31,48,M,M,22.83633299,23.66780045,46,51.1,0.321590001,0.314460001,0,0,0,0.02734375,0.029672317,102.3034701,ref,0.002133303,0.013837638
332,0,0,3,11,221,5,15,133,79,325,48,22,M,F,23.66780045,26.68320929,51.1,56.7,0.314460001,0.323029999,0,0,0,0.002083333,0.010109951,110.6390528,ref,0.013837638,0.02206815
1181,0,0,11,3,221,15,5,133,325,79,22,48,F,M,26.68320929,23.66780045,56.7,51.1,0.323029999,0.314460001,0,0,0,0.002083333,0.010109951,110.6390528,ref,0.02206815,0.013837638
333,0,0,3,12,222,5,17,135,81,357,48,41,M,F,23.66780045,26.3844817,51.1,56.7,0.314460001,0.332809999,0,0,0,0.03125,0.031225576,332.3627536,ref,0.013837638,0.017181734
1288,0,1,12,3,222,17,5,135,357,81,41,48,F,M,26.3844817,23.66780045,56.7,51.1,0.332809999,0.314460001,0,0,0,0.03125,0.031225576,332.3627536,ref,0.017181734,0.013837638
334,0,0,3,13,223,5,30,148,94,389,48,22,M,M,23.66780045,22.25322593,51.1,51,0.314460001,0.566279999,0,0,0.046875,0.021139706,0.025577851,123.6648697,ref,0.013837638,0.07362056
1395,0,0,13,3,223,30,5,148,389,94,22,48,M,M,22.25322593,23.66780045,51,51.1,0.566279999,0.314460001,0,0,0.046875,0.021139706,0.025577851,123.6648697,ref,0.07362056,0.013837638
335,0,0,3,14,224,5,7,125,71,421,48,23,M,M,23.66780045,25.0457922,51.1,66.5,0.314460001,0.049,0,0,0,0.015625,0.018999457,428.9242357,ref,0.013837638,0.003690037
1502,0,0,14,3,224,7,5,125,421,71,23,48,M,M,25.0457922,23.66780045,66.5,51.1,0.049,0.314460001,0,0,0,0.015625,0.018999457,428.9242357,ref,0.003690037,0.013837638
337,0,0,3,15,225,5,30,148,94,453,48,25,M,F,23.66780045,23.59558321,51.1,48,0.314460001,0.566279999,0,0,0.046875,0.021139706,0.025577851,123.6648697,ref,0.013837638,0.07362056
1716,0,0,15,3,225,30,5,148,453,94,25,48,F,M,23.59558321,23.66780045,48,51.1,0.566279999,0.314460001,0,0,0.046875,0.021139706,0.025577851,123.6648697,ref,0.07362056,0.013837638
336,1,0,3,16,226,5,30,148,94,478,48,24,M,F,23.66780045,25.41245349,51.1,50.9,0.314460001,0.566279999,0,0,0,0.021139706,0.025577851,123.6648697,ref,0.013837638,0.005535055
1609,0,1,16,3,226,30,5,148,478,94,24,48,F,M,25.41245349,23.66780045,50.9,51.1,0.566279999,0.314460001,0,0,0,0.021139706,0.025577851,123.6648697,ref,0.005535055,0.013837638
338,1,1,3,17,227,5,30,148,94,517,48,25,M,F,23.66780045,22.43714647,51.1,56.5,0.314460001,0.566279999,0,0,0.046875,0.021139706,0.025577851,123.6648697,ref,0.013837638,0.072698051
1823,0,1,17,3,227,30,5,148,517,94,25,48,F,M,22.43714647,23.66780045,56.5,51.1,0.566279999,0.314460001,0,0,0.046875,0.021139706,0.025577851,123.6648697,ref,0.072698051,0.013837638
339,0,0,3,18,228,5,8,126,72,549,48,37,M,M,23.66780045,22.08349443,51.1,52.2,0.314460001,0.846060004,0,0,0,0.015625,0.015314685,137.1167386,ref,0.013837638,0.02761762
1930,0,0,18,3,228,8,5,126,549,72,37,48,M,M,22.08349443,23.66780045,52.2,51.1,0.846060004,0.314460001,0,0,0,0.015625,0.015314685,137.1167386,ref,0.02761762,0.013837638
416,1,0,3,19,229,5,24,142,88,581,48,41,M,F,23.66780045,22.12788277,51.1,48.6,0.314460001,5.259309977,0,0,0.09375,0.03125,0.031225576,310.0774097,ref,0.013837638,0.106319188
10169,0,1,19,3,229,24,5,142,581,88,41,48,F,M,22.12788277,23.66780045,48.6,51.1,5.259309977,0.314460001,0,0,0.09375,0.03125,0.031225576,310.0774097,ref,0.106319188,0.013837638
340,0,1,3,20,230,5,23,141,87,613,48,31,M,F,23.66780045,26.6204225,51.1,54.9,0.314460001,2.34056999,0,0,0.25,0.069444444,0.05134899,232.9484922,ref,0.013837638,0.03806792
2037,1,1,20,3,230,23,5,141,613,87,31,48,F,M,26.6204225,23.66780045,54.9,51.1,2.34056999,0.314460001,0,0,0.25,0.069444444,0.05134899,232.9484922,ref,0.03806792,0.013837638
341,0,0,3,21,231,5,3,66,67,645,48,25,M,M,23.66780045,22.35751702,51.1,51.8,0.314460001,0.18203,0,0,0.046875,0.028409091,0.029337069,100.1798383,ref,0.013837638,0.06727831
2144,0,0,21,3,231,3,5,66,645,67,25,48,M,M,22.35751702,23.66780045,51.8,51.1,0.18203,0.314460001,0,0,0.046875,0.028409091,0.029337069,100.1798383,ref,0.06727831,0.013837638
342,0,0,3,22,232,5,21,139,85,677,48,21,M,F,23.66780045,21.47253459,51.1,55.1,0.314460001,0.07986,0,0,0.046875,0.015625,0.018999457,222.3960431,ref,0.013837638,0.068380996
2251,0,0,22,3,232,21,5,139,677,85,21,48,F,M,21.47253459,23.66780045,55.1,51.1,0.07986,0.314460001,0,0,0.046875,0.015625,0.018999457,222.3960431,ref,0.068380996,0.013837638
343,0,1,3,23,233,5,9,127,73,709,48,39,M,M,23.66780045,21.9375338,51.1,49,0.314460001,1.118810005,1,0,0,0.028846154,0.028685916,61.40032573,ref,0.013837638,0.028540129
2358,1,0,23,3,233,9,5,127,709,73,39,48,M,M,21.9375338,23.66780045,49,51.1,1.118810005,0.314460001,1,0,0,0.028846154,0.028685916,61.40032573,ref,0.028540129,0.013837638
344,0,0,3,24,234,5,16,134,80,741,48,26,M,F,23.66780045,23.680859,51.1,52.3,0.314460001,0.552790001,0,0,0.046875,0.025520833,0.028580455,86.3539229,ref,0.013837638,0.070226015
2465,0,0,24,3,234,16,5,134,741,80,26,48,F,M,23.680859,23.66780045,52.3,51.1,0.552790001,0.314460001,0,0,0.046875,0.025520833,0.028580455,86.3539229,ref,0.070226015,0.013837638
345,1,0,3,25,235,5,30,148,94,773,48,52,M,F,23.66780045,30.236996,51.1,59.4,0.314460001,0.566279999,0,0,0.09375,0.021139706,0.025577851,123.6648697,ref,0.013837638,0.125100899
2572,0,1,25,3,235,30,5,148,773,94,52,48,F,M,30.236996,23.66780045,59.4,51.1,0.566279999,0.314460001,0,0,0.09375,0.021139706,0.025577851,123.6648697,ref,0.125100899,0.013837638
424,0,0,3,26,236,5,15,133,79,805,48,24,M,M,23.66780045,24.31528125,51.1,51.4,0.314460001,0.323029999,0,0,0,0.002083333,0.010109951,110.6390528,ref,0.013837638,0.02299066
11025,0,0,26,3,236,15,5,133,805,79,24,48,M,M,24.31528125,23.66780045,51.4,51.1,0.323029999,0.314460001,0,0,0,0.002083333,0.010109951,110.6390528,ref,0.02299066,0.013837638
346,0,0,3,27,237,5,20,138,84,837,48,24,M,F,23.66780045,23.40192275,51.1,52.8,0.314460001,0.851249997,0,0,0.046875,0.015625,0.017842473,289.8068322,ref,0.013837638,0.069303506
2679,0,0,27,3,237,20,5,138,837,84,24,48,F,M,23.40192275,23.66780045,52.8,51.1,0.851249997,0.314460001,0,0,0.046875,0.015625,0.017842473,289.8068322,ref,0.069303506,0.013837638
347,0,0,3,28,238,5,10,128,74,869,48,40,M,M,23.66780045,24.1098876,51.1,48.6,0.314460001,0.65041,0,0,0,0.013020833,0.017287046,4170.314137,ref,0.013837638,0.006457565
2786,0,0,28,3,238,10,5,128,869,74,40,48,M,M,24.1098876,23.66780045,48.6,51.1,0.65041,0.314460001,0,0,0,0.013020833,0.017287046,4170.314137,ref,0.006457565,0.013837638
348,1,0,3,29,239,5,6,124,70,901,48,35,M,F,23.66780045,23.99705944,51.1,49,0.314460001,0.24648,1,0,0.03125,0.014880952,0.019730051,136.9269878,ref,0.013837638,0.034680581
2893,1,1,29,3,239,6,5,124,901,70,35,48,F,M,23.99705944,23.66780045,49,51.1,0.24648,0.314460001,1,0,0.03125,0.014880952,0.019730051,136.9269878,ref,0.034680581,0.013837638
349,1,1,3,30,240,5,14,132,78,933,48,20,M,F,23.66780045,24.13333333,51.1,50.7,0.314460001,3.840829984,0,0.5,0,0.188657407,0.169373734,650.6957815,ref,0.013837638,0.035588676
3000,1,1,30,3,240,14,5,132,933,78,20,48,F,M,24.13333333,23.66780045,50.7,51.1,3.840829984,0.314460001,0,0.5,0,0.188657407,0.169373734,650.6957815,ref,0.035588676,0.013837638
428,0,0,3,31,241,5,31,149,95,965,48,73,M,F,23.66780045,21.41203704,51.1,56.2,0.314460001,1.652060002,0,0,0.1875,0.04296875,0.05618394,33.24154028,ref,0.013837638,0.116005535
11453,0,1,31,3,241,31,5,149,965,95,73,48,F,M,21.41203704,23.66780045,56.2,51.1,1.652060002,0.314460001,0,0,0.1875,0.04296875,0.05618394,33.24154028,ref,0.116005535,0.013837638
350,0,0,3,32,242,5,11,129,75,997,48,35,M,M,23.66780045,22.6071525,51.1,45.1,0.314460001,0.271620001,1,0,0.046875,0.015625,0.015612788,95.34149149,ref,0.013837638,0.085382553
3107,0,0,32,3,242,11,5,129,997,75,35,48,M,M,22.6071525,23.66780045,45.1,51.1,0.271620001,0.314460001,1,0,0.046875,0.015625,0.015612788,95.34149149,ref,0.085382553,0.013837638
351,1,1,3,33,243,5,5,123,69,1029,48,75,M,F,23.66780045,22.35896149,51.1,54.9,0.314460001,0.314460001,0,0,0.5,NA,NA,0,ref,0.013837638,0.075011531
3214,1,1,33,3,243,5,5,123,1029,69,75,48,F,M,22.35896149,23.66780045,54.9,51.1,0.314460001,0.314460001,0,0,0.5,NA,NA,0,ref,0.075011531,0.013837638
352,0,0,3,34,244,5,8,126,72,1061,48,33,M,F,23.66780045,20.01429309,51.1,47.7,0.314460001,0.846060004,0,0,0.046875,0.015625,0.015314685,137.1167386,ref,0.013837638,0.087458199
3321,0,0,34,3,244,8,5,126,1061,72,33,48,F,M,20.01429309,23.66780045,47.7,51.1,0.846060004,0.314460001,0,0,0.046875,0.015625,0.015314685,137.1167386,ref,0.087458199,0.013837638
353,1,0,3,35,245,5,12,130,76,1093,48,48,M,M,23.66780045,20.11611691,51.1,52,0.314460001,0.566839998,0,0,0.09375,0.03125,0.031225576,678.6169759,ref,0.013837638,0.102167897
3428,0,1,35,3,245,12,5,130,1093,76,48,48,M,M,20.11611691,23.66780045,52,51.1,0.566839998,0.314460001,0,0,0.09375,0.03125,0.031225576,678.6169759,ref,0.102167897,0.013837638
354,0,0,3,36,246,5,13,131,77,1125,48,43,M,M,23.66780045,23.39761249,51.1,49.7,0.314460001,0.18418,0,0,0,0.00625,0.016776397,221.1628359,ref,0.013837638,0.02398524
3535,0,0,36,3,246,13,5,131,1125,77,43,48,M,M,23.39761249,23.66780045,49.7,51.1,0.18418,0.314460001,0,0,0,0.00625,0.016776397,221.1628359,ref,0.02398524,0.013837638
355,0,0,3,37,247,5,26,144,90,1157,48,20,M,M,23.66780045,22.86301966,51.1,49.4,0.314460001,0.31169,0,0,0.046875,0.034375,0.033835268,81.39410298,ref,0.013837638,0.078924988
3642,0,0,37,3,247,26,5,144,1157,90,20,48,M,M,22.86301966,23.66780045,49.4,51.1,0.31169,0.314460001,0,0,0.046875,0.034375,0.033835268,81.39410298,ref,0.078924988,0.013837638
356,0,0,3,38,248,5,4,95,68,1189,48,28,M,F,23.66780045,24.47776518,51.1,54.5,0.314460001,0.07379,0,0,0.046875,0.015625,0.017842473,1477.308702,ref,0.013837638,0.070226015
3749,0,0,38,3,248,4,5,95,1189,68,28,48,F,M,24.47776518,23.66780045,54.5,51.1,0.07379,0.314460001,0,0,0.046875,0.015625,0.017842473,1477.308702,ref,0.070226015,0.013837638
357,1,1,3,39,249,5,9,127,73,1221,48,39,M,F,23.66780045,28.1675972,51.1,49.8,0.314460001,1.118810005,1,0,0.09375,0.028846154,0.028685916,61.40032573,ref,0.013837638,0.119565844
3856,0,0,39,3,249,9,5,127,1221,73,39,48,F,M,28.1675972,23.66780045,49.8,51.1,1.118810005,0.314460001,1,0,0.09375,0.028846154,0.028685916,61.40032573,ref,0.119565844,0.013837638
371,1,0,3,40,250,5,14,132,78,1253,48,48,M,M,23.66780045,26.2721715,51.1,51.9,0.314460001,3.840829984,1,0,0.5,0.188657407,0.169373734,650.6957815,ref,0.013837638,0.115875807
5354,1,1,40,3,250,14,5,132,1253,78,48,48,M,M,26.2721715,23.66780045,51.9,51.1,3.840829984,0.314460001,1,0,0.5,0.188657407,0.169373734,650.6957815,ref,0.115875807,0.013837638
358,0,0,3,41,251,5,22,140,86,1285,48,26,M,M,23.66780045,25.42947459,51.1,50.2,0.314460001,0.17186,0,0,0.015625,0.009300595,0.009680657,226.7972663,ref,0.013837638,0.039941767
